Building Name,CMUBldgAbbrev,MaximoBldgAbbrev,BuildingZone,BuildingZoneSupervisor,CMUBldgCode
1004 Devonshire Road,1004DEVN,1004DEVN,,,206
1008 Devonshire Road,1008DEVN,1008DEVN,,,295
1011 Devonshire Road,1011DEVN,1011DEVN,,,287
1016 Devonshire Road,1016DEVN,1016,,,204
1019 Devonshire Road,1019DEVN,1019,,,207
1021 Devonshire Road,1021DEVN,1021,,,215
1026 Devonshire Road,1026DEVN,1026,,,214
1033 Devonshire Road,1033DEVN,1033,,,205
1063  Morewood Avenue (1063MWD)  (KS),1063MWD,1063,Housing Zone,TEMANUEL,093
1065  Morewood Avenue (1065MWD)  (KKG),1065MWD,1065,Housing Zone,TEMANUEL,094
1067 Morewood Avenue (1067MWD)  (Fraternity Quad Workshop),1067MWD,1067,Housing Zone,TEMANUEL,095
"1069  Morewood Ave., Alpha Chi Omega (ACO)",1069MWD,1069,Housing Zone,TEMANUEL,088
"1071  Morewood Ave., Delta Delta Delta (DDD)",1071MWD,1071,Housing Zone,TEMANUEL,087
"1079  Morewood Ave., Aplha Phi (AP)",1079MWD,1079,Housing Zone,TEMANUEL,085
1094 Devon Road,1094DEVN,1094,,,201
1723 Murray Ave. Leased Property,1723MURR,1723MURR,N/A,,297
201 North Braddock Ave,201NBRAD,201NBRAD,,,171
203 South Craig Street (203SCRG),203SCRG,203SC,,,290
205 South Craig Street (205SCRG),205SCRG,205SC,,,252
211 South Craig St,211SCRG,211SC,,,237
300 South Craig Street (300SCRG),300SCRG,300SC,,,140
311 South Craig Street (311SCRG) Leased Property,311SCRG,311SCRG,N/A,,226
317-319 South Craig St,319SCRG,317-319,,,236
407 South Craig Street (407SCRG),407SCRG,407SC,Mellon Zone,RJENKS,025
417 South Craig Street (417SCRG) Leased Property,417SCRG,417SCRG,N/A,,141
4516 Henry Street (UTDC),4516HNRY,UTDC,,,037
4609 Winthrop Street (4609WINT),4609WINT,4609WINT,,,227
4612 Filmore Street,4612FILMOR,4612FILMOR,,,296
4612 Henry St,4612HNRY,4612HNRY,,,274
4615 Filmore Street,4615FILMOR,4615FILMOR,,,267
4615 Forbes Avenue GATF (4615FRBS),4615FRBS,4615,Forbes Zone,RGIFFEN,038
4616 Henry Street INI (4616HNRY),4616HNRY,4616HNRY,,,225
4618 Henry Street (4618HNRY),4618HNRY,4618HNRY,,,272
4620 Henry Street (4620HNRY),4620HNRY,4620HNRY,,,238
4621 Forbes Ave ( Electric Garage / Old Exxon Station ),4621FRBS,4621FRBS,,,602
4622 Henry St,4622HNRY,4622HNRY,,,262
4625 Winthrop Street,4625WINT,4625WINT,,,261
4626 Henry St,4626HNRY,4626HNRY,,,282
4630 Filmore Street,4630FILMOR,4630FILMOR,,,249
4631 1/2 Winthrop St,46315WINT,4631.5WINT,,,266
4631 Filmore Street,4631FILMOR,4631FILMOR,,,196
4632 Filmore Street,4632FILMOR,4632FILMOR,,,250
4633 Filmore Street,4633FILMOR,4633FILMOR,,,251
4634 Filmore Street,4634FILMOR,4634FILMOR,,,255
4636 Filmore Street,4636FILMOR,4636FILMOR,,,248
4638 Filmore Street,4638FILMOR,4638FILMOR,,,253
4638 Winthrop St,4638WINT,4638WINT,,,283
4639 Filmore Street,4639FILMOR,4639FILMOR,,,259
4644 Filmore Street,4644FILMOR,4644FILMOR,,,254
4700 Fifth Ave (The Residence on Fifth),4700FIFTH,4700FIFTH,Housing Zone,TEMANUEL,097
4705 Fifth Ave (4705FIFTH),4705FIFTH,4705FIFTH,Housing Zone,TEMANUEL,289
4721 Fifth Avenue (4721FIFTH) Marcom,4721FIFTH,4721FIFTH,,,256
475 Butler Street-ETNA Leased Property,475BUTLER,475BUTLER,N/A,,294
477 Melwood Avenue (477MELWOOD),477MELWOOD,477MEL,,,193
4802 Fifth Ave (WQED) Leased Property,4802FIFTH,4802FIFTH,N/A,,144
4914 Fifth Avenue,4914FITH,4914,,,216
5031 Forbes Avenue (5031FRBS),5031FRBS,5031,Housing Zone,TEMANUEL,090
5033 Forbes Avenue (5033FRBS),5033FRBS,5033,Housing Zone,TEMANUEL,089
5111 Beeler Street,5111BEEL,5111,,,202
5210-5212 Forbes Avenue,5210FRBS,5210FRBS,,,247
5216 Forbes Avenue,5216FRBS,5216,,,208
5218 Forbes Avenue duplex apartment,5218FRBS,5218FORBS,,,220
5220 Forbes Avenue duplex apartment,5220FRBS,5220FORBS,,,221
5222 Forbes Avenue,5222FRBS,5222FRBS,,,270
5224 Forbes Avenue,5224FRBS,5224FRBS,,,271
6425 Living Place (Leased Property ),6425LIVPL,6425LIVPL,N/A,,199
6543 Penn Avenue (6543PENN),6543PENN,6543PENN,,,074
6555 Penn Avenue (6555PENN),6555PENN,6555,Mellon Zone,RJENKS,032
99 Gladstone Road,99GLAD,99GR,,,200
"AEP, 1091 Morewood Ave.",1091MWD,1091,,,083
Alumni House (AH) 5017 Forbes Avenue,AH,ALUM,,,016
ANSYS Hall (AN) 431 Hamerschlag Drive,ANSYS,ANSYS,West Zone,CERV,116
Baker Hall (BPH) 4815-4825 Frew Street,BPH,BAKE,East Zone,RH0T,003
Bakery Square 2 Leased Property,BAKERYSQ,BK,N/A,,187
Boss House (BOS) 5126 Margaret Morrison,BOS,BOSS,Housing Zone,TEMANUEL,058
Bramer House and Garage (BRH) 1045 Morewood Avenue,BRH,BRAM,Housing Zone,TEMANUEL,027
Clyde House (CLY) 624 Clyde Street,624CLYDE,624CLY,Housing Zone,TEMANUEL,258
